SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,0.965368846501,1.25032712047,-9999,-9999,-9999,0.00290773748946,0.0174464249368,1.7097496438,0.244249949115,1.930737693,-9999,-9999,71.7571457649,5.50143933006,0.00581547497892,16.6148120148,-9999
7373500,0.270087778528,0.945307224848,-9999,-9999,-9999,-9999,0.270087778528,13.5043889264,10.6684672519,12.4915597569,-9999,-9999,38.5550303849,22.3497636732,-9999,0.945307224848,-9999
8136000,0.128525713886,0.501862311364,-9999,-9999,-9999,-9999,0.429730533163,0.60153531397,0.171367618515,0.000437162292129,15,72,10.4411841852,0.252242642559,0.0192351408537,0.0157378425167,-9999
2388350,0.473016555579,0.0860030101054,-9999,-9999,-9999,0.451515803053,-9999,27.735970759,19.6839389379,27.166200817,-9999,-9999,12.3414319501,11.7609116319,-9999,0.301010535369,-9999
8103800,0.34273895701,0.437287634806,-9999,-9999,-9999,-9999,0.759344068548,5.49859654306,8.83439208155,-9999,34,43,3.95036194416,3.48648249372,0.0265918156301,-9999,-9999
8072760,0.0565610859729,0.282805429864,-9999,-9999,-9999,0.0565610859729,0.622171945701,6.56108597285,3.56334841629,2.60180995475,2,5,38.1221719457,34.2194570136,4.18552036199,2.65837104072,-9999
2372250,0.169140113488,0.278262767351,-9999,-9999,-9999,-9999,-9999,11.0104757748,20.5587079878,18.332605849,-9999,-9999,33.233304234,5.87079877783,0.152771715408,10.3939327804,-9999
2427500,1.1236598405,1.18863018901,-9999,-9999,-9999,0.0871724460285,0.00186965031696,25.1917852239,17.5664164062,21.087785925,-9999,-9999,20.3944962169,9.5659489936,0.195729017557,3.59650609097,-9999
2393419,0.654664484452,-9999,-9999,-9999,-9999,-9999,-9999,23.7315875614,13.5842880524,19.9672667758,-9999,-9999,32.4058919804,9.65630114566,-9999,-9999,-9999
2297310,0.0473653049142,0.48549437537,-9999,-9999,-9999,0.106571936057,-9999,0.153937240971,8.7981053878,0.414446417999,40,0,13.5938425104,7.69686204855,7.17584369449,21.6341030195,-9999
7340500,0.454332865638,0.046769559698,-9999,-9999,-9999,0.0133627313423,0.0200440970134,50.3908598918,11.8527427006,33.0527159751,-9999,-9999,0.380837843255,3.56116790272,0.100220485067,0.126945947752,-9999
2346180,0.9343198905,3.3464918371,-9999,-9999,-9999,0.059510821051,0.00198369403503,16.3991985876,16.9546329174,12.9197992502,-9999,-9999,29.559024816,12.5111582789,0.132907500347,7.18097240682,-9999
