SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,1.12820214591,1.53819313192,-9999,-9999,-9999,0.00290773748946,0.00581547497892,1.31429734524,0.226803524178,1.07295513361,-9999,-9999,76.7526387718,5.55959407985,0.00581547497892,12.3927771801,-9999
7373500,0.270087778528,1.01282916948,-9999,-9999,-9999,-9999,0.270087778528,19.0411883862,10.5334233626,19.1762322755,-9999,-9999,26.603646185,22.4848075625,-9999,0.607697501688,-9999
8136000,0.355850105793,0.534212320982,-9999,-9999,-9999,-9999,0.429293370871,0.601972476262,0.166995995593,-9999,15,73,9.56030216658,0.278035217794,0.0118033818875,0.00524594750555,-9999
2388350,0.569769941948,0.139754891421,-9999,-9999,-9999,0.451515803053,-9999,29.7140399914,21.5007525263,28.9722640292,-9999,-9999,6.8587400559,11.5029026016,-9999,0.290260159106,-9999
8103800,0.345693603191,0.466834096617,-9999,-9999,-9999,-9999,0.759344068548,5.49859654306,8.63938543359,-9999,33,43,4.2724183779,3.84399468164,0.0265918156301,-9999,-9999
8072760,0.169683257919,5.09049773756,-9999,-9999,-9999,-9999,0.622171945701,6.6742081448,1.8665158371,2.43212669683,2,5,33.5407239819,36.3687782805,4.24208144796,1.64027149321,-9999
2372250,0.218245307726,0.360104757748,-9999,-9999,-9999,0.0109122653863,-9999,14.7970318638,22.1682671323,23.5868616325,-9999,-9999,23.008511567,6.11632474902,0.152771715408,9.58096900917,-9999
2427500,1.55332885396,1.68408752301,-9999,-9999,-9999,0.0876398586077,0.00210335660658,28.307440624,18.6880897432,24.1820571996,-9999,0,12.5324997809,9.42280389121,0.185679647104,3.35391896234,-9999
2393419,0.654664484452,1.14566284779,-9999,-9999,-9999,0.163666121113,-9999,31.4238952537,15.875613748,28.4779050736,-9999,-9999,15.2209492635,7.03764320786,-9999,-9999,-9999
2297310,0.0710479573712,1.26702190645,-9999,-9999,-9999,0.260509177028,-9999,0.0236826524571,7.77975133215,0.414446417999,40,0,14.1859088218,7.73238602724,7.17584369449,20.7578448786,-9999
7340500,0.541190619363,0.046769559698,-9999,-9999,-9999,0.0200440970134,0.0200440970134,49.2951159217,11.7792476782,32.5716576468,-9999,-9999,0.320705552215,5.20478385782,0.093539119396,0.106901850738,-9999
2346180,0.968042689096,5.98678859773,-9999,-9999,-9999,0.0753803733312,0.00198369403503,20.4717224415,18.8510444149,16.7403939616,-9999,-9999,17.5358552697,12.1263216362,0.128940112277,7.11352680962,-9999
