SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,1.22706522055,1.59344014422,-9999,-9999,-9999,0.00290773748946,0.00581547497892,1.30266639528,0.226803524178,1.0758628711,-9999,-9999,77.8808409177,5.5712250298,0.00581547497892,11.1075572097,-9999
7373500,0.270087778528,1.01282916948,-9999,-9999,-9999,-9999,0.270087778528,19.9864956111,10.9385550304,20.0540175557,-9999,-9999,24.2403781229,22.6198514517,-9999,0.607697501688,-9999
8136000,0.355850105793,0.54820151433,-9999,-9999,-9999,0.000874324584259,0.429293370871,0.602409638554,0.167433157886,-9999,15,76,6.8708797454,0.267980485075,0.0118033818875,0.00480878521342,-9999
2388350,0.602021070737,0.139754891421,-9999,-9999,-9999,0.451515803053,-9999,30.0365512793,21.8985164481,29.3592775747,-9999,-9999,5.84820468716,11.3738980864,-9999,0.290260159106,-9999
8103800,0.354557541734,0.505244496971,-9999,-9999,-9999,-9999,0.759344068548,5.50155118925,8.64234007978,-9999,33,43,3.81149357364,3.89126902053,0.0265918156301,-9999,-9999
8072760,0.169683257919,9.61538461538,-9999,-9999,-9999,0.0565610859729,0.622171945701,6.22171945701,1.69683257919,1.92307692308,2,5,29.5814479638,37.3303167421,4.24208144796,0.848416289593,-9999
2372250,0.218245307726,0.387385421213,-9999,-9999,-9999,0.0109122653863,-9999,15.5663465735,22.5665648189,24.5689655172,-9999,-9999,20.7714971628,6.17634220864,0.152771715408,9.58096900917,-9999
2427500,1.56898717537,1.89781192486,-9999,-9999,-9999,0.0884578306214,0.00210335660658,28.7555724343,18.8721334463,24.6501708977,-9999,0,11.1685898747,9.4556396249,0.185679647104,3.35426952178,-9999
2393419,0.654664484452,2.61865793781,-9999,-9999,-9999,0.163666121113,-9999,31.914893617,16.0392798691,28.968903437,-9999,-9999,12.7659574468,6.87397708674,-9999,-9999,-9999
2297310,0.0828892835998,1.34991119005,-9999,-9999,-9999,0.248667850799,-9999,0.0118413262285,7.81527531083,0.414446417999,40,0,14.1148608644,7.74422735346,7.17584369449,20.5210183541,-9999
7340500,0.661455201443,0.046769559698,-9999,-9999,-9999,0.0200440970134,0.0200440970134,48.9944544665,11.7324781185,32.4179862364,-9999,-9999,0.354112380571,5.55889623839,0.0868577537249,0.106901850738,-9999
2346180,0.964075301026,6.72273908472,-9999,-9999,-9999,0.0733966792962,0.00198369403503,21.2037055405,19.0394953482,17.3116978437,-9999,-9999,15.2069984726,12.229473726,0.128940112277,7.11749419769,-9999
7041000,0.182038834951,2.34627831715,-9999,-9999,-9999,0.364077669903,-9999,9.04126213592,0.161812297735,1.57766990291,1,0,77.7103559871,4.55097087379,0.0202265372168,3.17556634304,-9999
2423496,1.16291475515,8.46047156727,-9999,-9999,-9999,0.362744052064,-9999,36.9252107116,14.275045343,29.574309186,-9999,-9999,3.27536541129,5.57985703617,0.0320068281233,0.352075109357,-9999
8052745,0.192554557125,0.834403080873,-9999,-9999,-9999,-9999,-9999,2.82413350449,2.24646983312,1.026957638,3,0,55.648267009,33.3119383825,-9999,1.21951219512,-9999
8155200,0.349087003222,2.41675617615,-9999,-9999,-9999,0.0268528464017,0.510204081633,9.10311493018,42.9377013963,-9999,32,12,0.295381310419,0.537056928034,-9999,-9999,-9999
7077555,0.118313718164,0.259459908255,-9999,-9999,-9999,-9999,0.0269838304585,13.1826390186,0.354941154493,5.00238703116,-9999,-9999,66.3656931731,3.66980094236,0.149448907155,10.8703323163,-9999
7364700,0.524934383202,4.40018527096,-9999,-9999,-9999,0.0771962328238,-9999,9.49513663733,50.5172147599,18.9593947815,-9999,-9999,2.08429828624,3.01065308013,0.0617569862591,10.8692295816,-9999
8167800,1.16921732995,1.30193021654,-9999,-9999,-9999,0.00335981991365,0.551010465839,3.54796982882,47.3247433938,0.00839954978413,21,21,2.00917230836,1.39096544425,0.0268785593092,-9999,-9999
2365200,0.516292398902,1.21832875923,-9999,-9999,-9999,0.00227441585419,0.00454883170839,14.2408758017,21.5758669315,21.8465224182,0,-9999,24.7774863156,9.63821625146,0.213036951676,5.9635183697,-9999
7311200,1.55945419103,0.0974658869396,-9999,-9999,-9999,-9999,-9999,12.2807017544,0.877192982456,0.194931773879,70,12,0.0974658869396,2.72904483431,-9999,-9999,-9999
2329000,1.25665286813,1.9324997888,-9999,-9999,-9999,0.0190081946439,0.0718087353214,3.51017994424,25.5639097744,7.9876657937,1,0,37.4693756864,5.71724254456,1.71496156121,13.5824110839,-9999
