SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,1.12529440842,1.48003838213,-9999,-9999,-9999,0.00290773748946,0.00581547497892,1.43933005728,0.232618999157,1.30557413277,-9999,-9999,75.7640080254,5.5450553924,0.00581547497892,13.093541915,-9999
7373500,0.270087778528,1.01282916948,-9999,-9999,-9999,-9999,0.270087778528,18.7035786631,10.9385550304,18.7035786631,-9999,-9999,27.2788656313,22.2147197839,-9999,0.607697501688,-9999
8136000,0.211586549391,0.517162991589,-9999,-9999,-9999,-9999,0.429293370871,0.60153531397,0.16830748247,-9999,15,72,10.4494902688,0.275849406334,0.0144263556403,0.00524594750555,-9999
2388350,0.569769941948,0.129004515158,-9999,-9999,-9999,0.451515803053,-9999,29.5312835949,21.2642442485,28.8110083853,-9999,-9999,7.32100623522,11.6319071167,-9999,0.290260159106,-9999
8103800,0.345693603191,0.457970158074,-9999,-9999,-9999,-9999,0.759344068548,5.50746048161,8.7162062343,-9999,33,43,3.90013295908,3.79967498892,0.0265918156301,-9999,-9999
8072760,0.113122171946,2.7149321267,-9999,-9999,-9999,-9999,0.622171945701,6.90045248869,2.37556561086,2.092760181,2,5,35.9162895928,35.7466063348,4.18552036199,1.97963800905,-9999
2372250,0.218245307726,0.321911828896,-9999,-9999,-9999,0.00545613269315,-9999,14.7151898734,22.3646879092,23.4286337844,0,-9999,23.2103884766,6.00174596246,0.152771715408,9.57551287647,-9999
2427500,1.40924892641,1.5119628407,-9999,-9999,-9999,0.0860039145804,0.00210335660658,28.1902369198,18.6961526102,24.066956852,0,0,13.0456019398,9.44897899565,0.186380765972,3.35590546581,-9999
2393419,0.654664484452,0.818330605565,-9999,-9999,-9999,-9999,-9999,30.2782324059,15.875613748,27.495908347,-9999,-9999,16.5302782324,8.34697217676,-9999,-9999,-9999
2297310,0.0710479573712,1.17229129663,-9999,-9999,-9999,0.248667850799,-9999,0.0355239786856,7.92184724689,0.414446417999,40,0,14.1148608644,7.73238602724,7.17584369449,20.8644168147,-9999
7340500,0.514465156678,0.046769559698,-9999,-9999,-9999,0.0200440970134,0.0200440970134,49.9899779515,11.8326986036,32.7988240796,-9999,-9999,0.280617358188,4.29611812655,0.093539119396,0.106901850738,-9999
2346180,0.977961159271,5.29646307354,-9999,-9999,-9999,0.0694292912261,0.00198369403503,20.2793041201,18.8708813553,16.534089782,-9999,-9999,18.5852294142,12.1421911884,0.128940112277,7.11352680962,-9999
7041000,0.121359223301,2.08333333333,-9999,-9999,-9999,0.242718446602,-9999,10.821197411,0.161812297735,1.61812297735,1,0,73.8875404531,4.47006472492,0.0202265372168,5.68365695793,-9999
2423496,1.15224581244,6.89213698922,-9999,-9999,-9999,0.362744052064,-9999,37.3199615918,14.3817347701,29.9690600661,-9999,-9999,3.95817774459,5.57985703617,0.0320068281233,0.352075109357,-9999
8052745,0.0641848523748,0.641848523748,-9999,-9999,-9999,-9999,-9999,1.92554557125,1.540436457,0.962772785623,1,0,60.1412066752,31.7073170732,0.0641848523748,1.21951219512,-9999
8155200,0.349087003222,0.966702470462,-9999,-9999,-9999,0.0268528464017,0.510204081633,9.425349087,43.7969924812,-9999,32,12,0.349087003222,0.537056928034,-9999,-9999,-9999
7077555,0.0705730950454,0.20964360587,-9999,-9999,-9999,-9999,0.0249081511925,14.6252361085,0.346638437429,5.94889677647,-9999,-9999,60.1199742616,3.61790896071,0.149448907155,14.886771696,-9999
7364700,0.524934383202,4.36930677783,-9999,-9999,-9999,0.0617569862591,-9999,9.43337965107,50.4554577737,18.9130770418,-9999,-9999,2.30044773815,3.01065308013,0.0617569862591,10.8692295816,-9999
8167800,0.428377038991,0.927310296168,-9999,-9999,-9999,0.00167990995683,0.557730105666,3.6420447864,48.1059015237,0.00839954978413,22,21,1.93189645035,1.33384850572,0.0268785593092,-9999,-9999
2365200,0.50946915134,0.888538460372,-9999,-9999,-9999,0.000758138618065,0.00454883170839,13.6108626101,21.8017922397,21.2892905339,0,-9999,26.263438007,9.43048627011,0.213036951676,5.96276023108,-9999
7311200,1.55945419103,0.0974658869396,-9999,-9999,-9999,-9999,-9999,12.2807017544,0.877192982456,0.194931773879,70,12,0.194931773879,2.72904483431,-9999,-9999,-9999
