SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,1.0758628711,1.36372888256,-9999,-9999,-9999,0.00290773748946,0.0116309499578,1.67776453142,0.241342211625,1.91910674304,-9999,-9999,73.7693001076,5.52760896746,0.00581547497892,14.4049315228,-9999
7373500,0.270087778528,0.945307224848,-9999,-9999,-9999,-9999,0.270087778528,16.7454422687,11.9513841999,16.5428764348,0,-9999,30.1147873059,22.3497636732,-9999,0.742741390952,-9999
8136000,0.211586549391,0.506233934286,-9999,-9999,-9999,-9999,0.429730533163,0.60153531397,0.171804780807,-9999,15,72,9.99484148495,0.265794673615,0.017049329393,0.00918040813472,-9999
2388350,0.537518813158,0.129004515158,-9999,-9999,-9999,0.451515803053,-9999,28.9185121479,20.7697269404,28.2949903247,-9999,-9999,8.89056116964,11.7071597506,-9999,0.301010535369,-9999
8103800,0.348648249372,0.440242280987,-9999,-9999,-9999,-9999,0.759344068548,5.51336977397,8.84030137391,-9999,34,43,3.13192495199,3.57807652534,0.0265918156301,-9999,-9999
8072760,0.0565610859729,0.904977375566,-9999,-9999,-9999,-9999,0.622171945701,7.18325791855,3.45022624434,2.65837104072,2,5,36.9343891403,34.2760180995,4.18552036199,2.48868778281,-9999
2372250,0.19096464426,0.283718900044,-9999,-9999,-9999,-9999,-9999,13.3457005674,22.2883020515,21.7863378437,0,-9999,26.2167175906,5.90899170668,0.152771715408,9.82103884766,-9999
2427500,1.20907948935,1.299173264,-9999,-9999,-9999,0.0867050334492,0.00198650346177,27.2290029505,18.433700447,23.1105138617,0,-9999,15.4818731559,9.53346381935,0.190470626041,3.42391399609,-9999
2393419,0.654664484452,0.490998363339,-9999,-9999,-9999,-9999,-9999,28.1505728314,13.9116202946,25.2045826514,-9999,-9999,22.0949263502,9.49263502455,-9999,-9999,-9999
2297310,0.0473653049142,0.710479573712,-9999,-9999,-9999,0.142095914742,-9999,0.130254588514,8.73889875666,0.414446417999,40,0,13.5464772054,7.70870337478,7.17584369449,21.1604499704,-9999
7340500,0.454332865638,0.046769559698,-9999,-9999,-9999,0.0133627313423,0.0200440970134,50.4175853544,11.8594240663,33.1128482662,-9999,-9999,0.307342820873,3.56116790272,0.100220485067,0.106901850738,-9999
2346180,0.985895935411,3.99317609252,-9999,-9999,-9999,0.061494515086,0.00198369403503,18.801452064,18.3194144135,15.1336017933,-9999,-9999,23.0544920751,12.3842018607,0.132907500347,7.13138005594,-9999
7041000,0.101132686084,1.96197411003,-9999,-9999,-9999,0.141585760518,-9999,15.9991909385,0.161812297735,1.65857605178,1,0,66.7677993528,4.42961165049,0.0202265372168,7.86812297735,-9999
2423496,1.13090792702,5.91059426011,-9999,-9999,-9999,0.362744052064,-9999,37.3946441908,14.3603968847,29.9690600661,-9999,-9999,4.89704470287,5.56918809346,0.0426757708311,0.362744052064,-9999
8052745,0.0641848523748,0.641848523748,-9999,-9999,-9999,-9999,-9999,1.7971758665,1.41206675225,0.834403080873,1,0,62.836970475,29.4608472401,0.0641848523748,1.21951219512,-9999
8155200,0.349087003222,0.832438238453,-9999,-9999,-9999,0.0268528464017,0.510204081633,9.4522019334,44.0118152524,-9999,32,12,0.241675617615,0.537056928034,-9999,-9999,-9999
7077555,0.0435892645868,0.186811133944,-9999,-9999,-9999,0.00207567926604,0.0249081511925,18.670734998,0.369470909355,8.51651202856,-9999,0,51.2173858895,3.57016833759,0.149448907155,17.2468190215,-9999
7364700,0.447738150378,4.06052184653,-9999,-9999,-9999,0.0463177396943,-9999,9.2481086923,50.4863362668,18.7895630693,-9999,-9999,2.90257835418,3.01065308013,0.0617569862591,10.9464258144,-9999
8167800,0.425017219077,0.826515698759,-9999,-9999,-9999,0.00167990995683,0.557730105666,3.67060325567,48.5897155912,0.00839954978413,22,21,1.47496094209,1.25321282779,0.0268785593092,-9999,-9999
2365200,0.477627329381,0.756622340829,-9999,-9999,-9999,-9999,0.00454883170839,12.6230079908,22.0997407166,20.2862731422,0,-9999,28.109505542,9.31524920016,0.216069506149,6.08482054859,-9999
7311200,1.55945419103,0.0974658869396,-9999,-9999,-9999,-9999,-9999,12.2807017544,0.877192982456,0.194931773879,70,12,0.292397660819,2.72904483431,-9999,-9999,-9999
2329000,1.19118019769,1.35169384134,-9999,-9999,-9999,0.0063360648813,0.0696967136943,3.20182478669,26.9282757455,7.97499366394,1,0,37.1905888316,5.53560868463,1.72552166934,13.7788290952,-9999
8062895,1.07700592353,2.41249326871,-9999,-9999,-9999,-9999,0.0538502961766,10.4146472806,0.269251480883,0.549273021002,0,0,22.1755519655,60.0969305331,1.08777598277,1.78782983306,-9999
2429595,0.281042411855,0.281042411855,-9999,-9999,-9999,-9999,-9999,4.52222789985,45.3500255493,17.6801226367,-9999,-9999,20.8993357179,8.635666837,0.102197240675,2.24833929484,-9999
7382000,1.11609367215,0.548081714001,-9999,-9999,-9999,0.139511709018,0.039860488291,12.5759840558,43.3881415047,12.5062282013,0,-9999,3.4379671151,3.60737419033,0.587942202292,21.7737917289,-9999
8037000,0.469356440112,2.16024310257,-9999,-9999,-9999,0.00601739025785,0.148930408882,24.7149261365,7.11857267503,20.7915876884,0,0,3.19222553179,33.058037729,1.29825194813,6.9801726991,-9999
2390140,0.478011472275,0.334608030593,-9999,-9999,-9999,-9999,-9999,26.5296367113,9.75143403442,20.4110898662,-9999,-9999,18.0210325048,24.378585086,-9999,0.0956022944551,-9999
8164390,0.268404907975,0.485685071575,-9999,-9999,-9999,-9999,0.149113837764,24.6123040218,9.94802317655,0.741308793456,27,15,3.13991138378,15.5887866394,1.94700068166,0.383435582822,-9999
8017200,1.24444444444,2.34074074074,-9999,-9999,-9999,-9999,-9999,10.8444444444,0.948148148148,0.533333333333,0,-9999,34.9037037037,46.1925925926,1.80740740741,1.15555555556,-9999
2430880,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.4749340369,14.5118733509,38.5224274406,-9999,-9999,13.1926121372,3.2981530343,-9999,-9999,-9999
8022500,1.27017860956,2.22604015115,-9999,-9999,-9999,0.208551609075,0.180744727865,22.7817805342,4.62587330986,11.9966830363,0,0,9.79199459752,38.2006961651,1.50504744549,7.13792709632,-9999
8059000,0.799492385787,0.697969543147,-9999,-9999,-9999,-9999,0.0126903553299,6.19289340102,4.75888324873,1.33248730964,9,1,47.1700507614,29.4796954315,0.0761421319797,-9999,-9999
7366200,0.328571428571,0.742857142857,-9999,-9999,-9999,0.1,-9999,10.1428571429,52.0428571429,20.2142857143,-9999,-9999,4.44285714286,3.75714285714,0.0285714285714,8.2,-9999
2337170,1.2228898695,8.90996150596,-9999,-9999,-9999,0.0399023565862,0.00704159233875,33.2515726223,14.1324758239,23.2513379025,0,0,9.64463430664,8.88766313022,0.0387287578631,0.586799361562,-9999
