SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,1.89293710564,1.7097496438,-9999,-9999,-9999,0.00290773748946,0.00290773748946,1.11657119595,0.200633886773,0.70076473496,-9999,-9999,80.1052600971,5.60902561717,0.00581547497892,8.65342676863,-9999
7373500,0.33760972316,1.01282916948,-9999,-9999,-9999,-9999,0.270087778528,21.4044564483,10.2633355841,20.6617150574,-9999,-9999,20.7967589467,24.6455097907,-9999,0.607697501688,-9999
8136000,0.355850105793,0.774651581653,-9999,-9999,-9999,0.00262297375278,0.428856208579,0.602409638554,0.165247346425,-9999,15,75,7.58345428157,0.281969678423,0.0113662195954,0.00262297375278,-9999
2388350,0.612771447001,0.139754891421,-9999,-9999,-9999,0.451515803053,-9999,30.1225542894,22.016770587,29.5205332187,-9999,-9999,5.27843474522,11.5674048592,-9999,0.290260159106,-9999
8103800,0.357512187915,0.511153789334,-9999,-9999,-9999,-9999,0.759344068548,5.4926872507,8.57733786379,-9999,33,43,4.0685477914,4.00354557542,0.0265918156301,-9999,-9999
8072760,0.226244343891,16.7986425339,-9999,-9999,-9999,0.0565610859729,0.622171945701,5.48642533937,1.52714932127,1.52714932127,2,5,22.0022624434,39.7058823529,4.24208144796,0.113122171946,-9999
2372250,0.223701440419,0.392841553907,-9999,-9999,-9999,0.0163683980794,-9999,16.4666084679,22.9103011785,25.8075076386,-9999,-9999,17.9670449585,6.48188563946,0.152771715408,9.58096900917,-9999
2427500,1.6447080132,2.03020653793,-9999,-9999,-9999,0.0923139844001,0.00210335660658,29.1698168327,18.8909468026,25.0612602612,-9999,-9999,9.68829423622,9.88449066636,0.185679647104,3.35017966171,-9999
2393419,0.654664484452,3.60065466448,-9999,-9999,-9999,0.490998363339,-9999,33.5515548282,16.3666121113,29.6235679214,-9999,-9999,8.67430441899,7.03764320786,-9999,-9999,-9999
2297310,0.0947306098283,1.50384843102,-9999,-9999,-9999,0.272350503256,-9999,-9999,7.56660746004,0.414446417999,40,0,14.3161634103,7.76791000592,7.17584369449,20.3670811131,-9999
7340500,0.855214805906,0.046769559698,-9999,-9999,-9999,0.0668136567114,0.0200440970134,48.6470234516,11.6790271932,32.3110843856,-9999,-9999,0.334068283557,5.84619496225,0.0868577537249,0.106901850738,-9999
2346180,0.962091606991,7.09765725734,-9999,-9999,-9999,0.103152089822,0.00198369403503,22.1657971474,19.2953918788,18.2658546746,-9999,-9999,12.2036857035,12.6599353316,0.128940112277,7.11551050366,-9999
7041000,0.283171521036,2.44741100324,-9999,-9999,-9999,0.404530744337,-9999,4.91504854369,0.182038834951,1.57766990291,1,-9999,83.9805825243,4.67233009709,0.0202265372168,0.687702265372,-9999
2423496,1.20559052598,8.84455350475,-9999,-9999,-9999,0.352075109357,-9999,36.765176571,14.275045343,29.5316334151,-9999,-9999,3.02997972901,5.61186386429,0.0320068281233,0.352075109357,-9999
8052745,0.192554557125,1.41206675225,-9999,-9999,-9999,-9999,-9999,2.43902439024,2.11810012837,1.026957638,3,0,50.7702182285,37.7406931964,-9999,1.21951219512,-9999
8155200,0.349087003222,3.41031149302,-9999,-9999,-9999,0.0268528464017,0.510204081633,8.94199785177,41.9709989259,-9999,32,12,0.375939849624,0.725026852846,-9999,-9999,-9999
7077555,0.311351889906,0.307200531374,-9999,-9999,-9999,0.00207567926604,0.0269838304585,9.50868671773,0.338335720364,2.74197231044,-9999,-9999,76.2832887062,3.76735786786,0.149448907155,6.56329783922,-9999
7364700,0.524934383202,4.40018527096,-9999,-9999,-9999,0.0771962328238,-9999,9.5105758839,50.548093253,19.0211517678,-9999,-9999,1.97622356029,3.01065308013,0.0617569862591,10.8692295816,-9999
8167800,1.16921732995,1.55559662002,-9999,-9999,-9999,0.00335981991365,0.551010465839,3.51437162968,46.6746182405,0.00839954978413,21,21,2.23092042267,1.74374653519,0.0268785593092,-9999,-9999
2365200,0.527664478173,1.32371002714,-9999,-9999,-9999,0.00379069309032,0.00454883170839,14.7359403193,21.5129414262,22.4143682431,0,-9999,23.0762232567,10.2250155418,0.212278813058,5.95821139937,-9999
7311200,1.55945419103,0.194931773879,-9999,-9999,-9999,-9999,-9999,12.2807017544,0.877192982456,0.194931773879,70,12,0.0974658869396,2.72904483431,-9999,-9999,-9999
2329000,1.26932499789,2.08456534595,-9999,-9999,-9999,0.0380163892878,0.0718087353214,3.60310889584,25.5068851905,8.07214665878,1,0,36.5337501056,5.96012503168,1.71496156121,13.5718509758,-9999
8062895,1.31394722671,3.90953150242,-9999,-9999,-9999,-9999,0.0753904146473,11.6101238557,0.333871836295,0.398492191707,0,0,15.5088852989,63.887991384,1.098546042,1.70166935918,-9999
2429595,0.306591722024,0.281042411855,-9999,-9999,-9999,-9999,-9999,5.2120592744,45.298926929,17.577925396,-9999,-9999,19.3152784875,9.88758303526,0.102197240675,2.01839550332,-9999
7382000,1.11609367215,0.866965620329,-9999,-9999,-9999,0.279023418037,0.039860488291,12.735426009,43.5276532138,12.605879422,0,-9999,2.66068759342,3.62730443448,0.577977080219,21.6641753861,-9999
8037000,1.07560850859,2.2986430785,-9999,-9999,-9999,0.0165478232091,0.148930408882,25.0308391251,7.02831182116,21.0127267804,0,0,2.13466919397,33.0053855643,1.28471282005,6.9335379246,-9999
2390140,0.525812619503,0.57361376673,-9999,-9999,-9999,-9999,-9999,29.4933078394,10.5640535373,24.8087954111,-9999,-9999,9.56022944551,24.378585086,-9999,0.0956022944551,-9999
8164390,0.28118609407,0.519768234492,-9999,-9999,-9999,-9999,0.153374233129,23.8582140423,9.9054192229,0.741308793456,26,15,4.11980231766,17.7402862986,1.9299591002,0.298227675528,-9999
8017200,1.57037037037,3.58518518519,-9999,-9999,-9999,0.0296296296296,0.0296296296296,13.9259259259,0.474074074074,0.296296296296,-9999,-9999,27.9111111111,49.3333333333,1.80740740741,1.03703703704,-9999
2430880,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34.3007915567,14.2480211082,42.7440633245,-9999,-9999,6.33245382586,2.3746701847,-9999,-9999,-9999
8022500,2.80948810511,2.53191584446,-9999,-9999,-9999,0.44590320226,0.196634374271,23.7098351946,4.5906181569,12.379027653,0,0,6.34294822458,38.4454960301,1.47227504978,6.9626444344,-9999
8059000,0.951776649746,1.38324873096,-9999,-9999,-9999,-9999,0.0126903553299,8.47715736041,6.80203045685,2.06852791878,13,1,30.038071066,36.8274111675,0.0634517766497,-9999,-9999
7366200,0.4,1.22857142857,-9999,-9999,-9999,0.157142857143,-9999,10.4428571429,52.5428571429,20.7428571429,-9999,-9999,2.77142857143,3.75714285714,-9999,7.95714285714,-9999
2337170,3.23209088349,15.3307201202,-9999,-9999,-9999,0.0880199042343,0.00352079616937,32.116702657,12.9400995212,22.9990141771,-9999,-9999,4.38221763215,8.37010609332,0.0293399680781,0.508168247113,-9999
8068090,3.81451930654,4.24300630418,-9999,-9999,-9999,0.0886524822695,0.22901891253,6.7006501182,17.2601457841,29.4473995272,0,0,0.972714736013,31.3805161545,1.77551221434,3.79728132388,-9999
2343801,2.54060673139,5.57132007936,-9999,-9999,-9999,0.0603434572974,0.0014717916414,29.0040091604,21.4569559817,22.9022553735,0,-9999,9.22048027505,6.24334014282,0.117154614656,2.88029624222,-9999
7351000,0.69244085401,9.69417195615,-9999,-9999,-9999,0.461627236007,0.144258511252,26.2839007501,15.7241777265,25.3029428736,0,-9999,4.29890363531,11.9734564339,0.115406809002,5.27986151183,-9999
2490500,0.662576687117,1.93374233129,-9999,-9999,-9999,0.0196319018405,0.0196319018405,13.2417177914,30.4,16.9079754601,-9999,-9999,12.5202453988,24.2846625767,0.00981595092025,-9999,-9999
7341200,1.1341974838,0.600457491422,-9999,-9999,-9999,-9999,0.0285932138772,30.4994281357,17.5848265345,36.0369805566,-9999,-9999,1.42966069386,10.1505909264,0.200152497141,2.33511246664,-9999
2360500,0.404824851289,0.23959021811,-9999,-9999,-9999,0.0165234633179,-9999,16.7465300727,17.4405155321,21.0922009253,0,-9999,25.8840052875,9.61665565102,0.206543291474,8.34434897555,-9999
8158035,-9999,97.8873239437,-9999,-9999,-9999,-9999,-9999,1.40845070423,-9999,-9999,-9999,-9999,0.704225352113,-9999,-9999,-9999,-9999
8018730,0.580973129993,0.508351488744,-9999,-9999,-9999,-9999,0.0726216412491,16.4124909223,0.290486564996,2.25127087872,-9999,-9999,5.59186637618,70.3703703704,1.16194625999,2.75962236747,-9999
8063100,5.0039829097,0.666232167427,-9999,-9999,-9999,-9999,0.181041349844,9.82692446955,2.13628792816,-9999,5,0,28.6117749294,47.7659497429,0.0796581939315,-9999,-9999
2355662,0.963119160418,2.30461894886,-9999,-9999,-9999,0.0797686016911,0.0156069003309,20.047236885,18.2316341465,13.2499115609,0,0,24.7730063052,10.5499178037,0.425894969029,9.34957375821,-9999
7289730,0.895706033242,0.789347458864,-9999,-9999,-9999,0.00104273112135,0.00104273112135,23.0568705554,17.4824299806,11.3855811141,-9999,-9999,18.8212967404,19.6815499155,0.00625638672812,7.87887635294,-9999
8100500,1.15818378948,1.04773581656,-9999,-9999,-9999,0.0141859781739,0.571492263575,7.41825330077,4.27808570357,0.0162125464844,32,38,12.0053906717,3.4482059804,0.0243188197266,0.0537040602296,-9999
2296500,0.24682651622,4.59097320169,-9999,-9999,-9999,0.0141043723554,0.0916784203103,-9999,4.81664315938,0.275035260931,32,0,13.8645980254,15.437235543,5.59238363893,22.5669957687,-9999
2300530,1.50602409639,37.3493975904,-9999,-9999,-9999,-9999,-9999,-9999,5.12048192771,-9999,15,-9999,12.6506024096,2.71084337349,7.8313253012,18.0722891566,-9999
2492360,0.939875604699,0.165860400829,-9999,-9999,-9999,-9999,-9999,8.03040774015,32.0939875605,20.8845888044,-9999,-9999,7.09053213545,22.2252937111,0.0414651002073,8.52798894264,-9999
7025400,0.333725952101,0.137416568512,-9999,-9999,-9999,0.00654364611962,-9999,27.0056275357,1.57047506871,3.59900536579,-9999,-9999,30.3363434105,31.0299698992,-9999,5.98089255333,-9999
8136700,0.309994028641,0.929684014741,-9999,-9999,-9999,0.0163939149762,0.958100134033,0.55739310919,0.277802341051,0.00158971296739,31,43,21.7923814993,1.4150432551,0.0313968311059,0.001291641786,-9999
7340000,1.43928278891,0.307839095565,-9999,-9999,-9999,0.0225028578629,0.0225028578629,41.6005832741,12.3756717103,30.0134117033,0,-9999,0.348344239718,11.4701567099,0.208826520968,1.7237189123,-9999
8078000,0.253378378378,1.77364864865,-9999,-9999,-9999,-9999,0.112612612613,8.67117117117,10.9515765766,-9999,2,1,32.1227477477,40.0900900901,1.8018018018,1.23873873874,-9999
2299861,3.125,75.4464285714,-9999,-9999,-9999,-9999,0.446428571429,-9999,3.125,-9999,2,3,0.892857142857,4.91071428571,1.33928571429,5.80357142857,-9999
8162500,0.623653869256,1.14630701147,-9999,-9999,-9999,0.0299472279741,0.751014988986,3.07226676034,7.83433147938,0.0052379182008,26,42,15.3560389496,3.30842855053,0.0744125987874,0.0207808711227,-9999
2294898,8.44540345243,19.113809715,-9999,-9999,-9999,1.42011240466,1.15415495785,0.185668406263,5.32918506624,0.180650341228,16,2,23.6551585709,4.11481332798,7.16077880369,10.4676836612,-9999
8195000,0.198093351492,0.321901696174,-9999,-9999,-9999,0.00619041723412,0.903800916182,1.67141265321,58.4437291073,-9999,20,16,1.42379596385,1.26284511576,0.0185712517024,-9999,-9999
2445000,0.107735401853,1.29282482224,-9999,-9999,-9999,-9999,-9999,30.7476836889,14.7597500539,34.0443869856,-9999,-9999,6.35638870933,6.07627666451,0.215470803706,6.39948287007,-9999
2484500,0.592020592021,1.26640926641,-9999,-9999,-9999,0.010296010296,-9999,26.435006435,26.296010296,13.6319176319,-9999,-9999,12.241956242,8.82882882883,0.0617760617761,10.6357786358,-9999
2309980,3.2131661442,5.79937304075,-9999,-9999,-9999,0.0783699059561,-9999,-9999,27.0768025078,0.822884012539,27,1,8.58150470219,2.93887147335,2.31191222571,21.0423197492,-9999
2300038,0.588235294118,47.6470588235,-9999,-9999,-9999,0.588235294118,-9999,-9999,8.82352941176,-9999,10,-9999,6.47058823529,7.64705882353,3.52941176471,14.7058823529,-9999
2300039,2.12765957447,14.8936170213,-9999,-9999,-9999,-9999,2.12765957447,-9999,10.6382978723,4.25531914894,19,-9999,10.6382978723,2.12765957447,4.25531914894,29.7872340426,-9999
7047950,0.566760121793,0.892345723674,-9999,-9999,-9999,0.0271321334901,-9999,7.81405444515,0.132645985952,3.53923607971,-9999,-9999,74.7339543577,3.49703053872,0.0060293629978,8.79081125079,-9999
2300032,0.490596892886,1.1447260834,-9999,-9999,-9999,-9999,0.163532297629,-9999,9.0760425184,0.327064595258,42,0,17.4161896975,10.5478331971,4.98773507768,14.1455437449,-9999
2300033,0.468018720749,1.32605304212,-9999,-9999,-9999,-9999,0.15600624025,-9999,8.73634945398,0.312012480499,42,0,16.7706708268,10.9984399376,5.61622464899,13.5725429017,-9999
7311500,1.20069974555,0.310114503817,-9999,-9999,-9999,-9999,0.0278307888041,1.07347328244,0.397582697201,0.174936386768,23,8,40.6886132316,24.9562659033,0.417461832061,-9999,-9999
2300034,-9999,16.3636363636,-9999,-9999,-9999,-9999,-9999,-9999,7.27272727273,0.909090909091,31,-9999,14.5454545455,13.6363636364,6.36363636364,10,-9999
8050400,0.625084930018,1.83448838157,-9999,-9999,-9999,-9999,0.0135888028265,3.09824704444,1.04633781764,0.869683380894,35,1,20.4103818454,35.4124201658,0.0135888028265,0.0135888028265,-9999
2365769,0.471003826906,1.53076243744,-9999,-9999,-9999,-9999,0.0294377391816,11.6867824551,46.8060052988,25.1692670003,-9999,-9999,5.09272887842,4.94554018251,0.0883132175449,4.18015896379,-9999
