SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,1.1863568957,1.56727050682,-9999,-9999,-9999,0.00290773748946,0.00581547497892,1.29975865779,0.226803524178,1.07295513361,-9999,-9999,77.2963856823,5.56831729231,0.00581547497892,11.7676136198,-9999
7373500,0.270087778528,1.01282916948,-9999,-9999,-9999,-9999,0.270087778528,19.446320054,10.5334233626,19.5138419986,-9999,-9999,25.7933828494,22.5523295071,-9999,0.607697501688,-9999
8136000,0.355850105793,0.53989543078,-9999,-9999,-9999,0.000437162292129,0.429293370871,0.602409638554,0.166995995593,-9999,15,74,8.27548219001,0.269729134244,0.0118033818875,0.00524594750555,-9999
2388350,0.580520318211,0.139754891421,-9999,-9999,-9999,0.451515803053,-9999,29.821543754,21.7372608041,29.2195226833,-9999,-9999,6.32122124274,11.438400344,-9999,0.290260159106,-9999
8103800,0.348648249372,0.478652681341,-9999,-9999,-9999,-9999,0.759344068548,5.50155118925,8.64529472596,-9999,33,43,3.99763628306,3.87945043581,0.0265918156301,-9999,-9999
8072760,0.169683257919,7.01357466063,-9999,-9999,-9999,0.0565610859729,0.622171945701,6.6742081448,1.80995475113,2.03619909502,2,5,31.7873303167,36.8212669683,4.24208144796,1.30090497738,-9999
2372250,0.218245307726,0.371017023134,-9999,-9999,-9999,0.0109122653863,-9999,15.1898734177,22.3646879092,24.1270187691,-9999,-9999,21.8299869053,6.15451767787,0.152771715408,9.58096900917,-9999
2427500,1.56174228039,1.78808682189,-9999,-9999,-9999,0.0879904180421,0.00210335660658,28.5296953054,18.7800531682,24.4189185241,-9999,0,11.8562706319,9.4353071777,0.185679647104,3.3538021092,-9999
2393419,0.654664484452,1.63666121113,-9999,-9999,-9999,0.163666121113,-9999,31.7512274959,15.875613748,28.8052373159,-9999,-9999,14.0752864157,7.03764320786,-9999,-9999,-9999
2297310,0.0710479573712,1.31438721137,-9999,-9999,-9999,0.236826524571,-9999,0.0236826524571,7.75606867969,0.414446417999,40,0,14.1622261693,7.74422735346,7.17584369449,20.6394316163,-9999
7340500,0.587960179061,0.046769559698,-9999,-9999,-9999,0.0200440970134,0.0200440970134,49.1748513396,11.7792476782,32.5048439901,-9999,-9999,0.320705552215,5.35177390259,0.0868577537249,0.106901850738,-9999
2346180,0.966058995061,6.42915236754,-9999,-9999,-9999,0.0753803733312,0.00198369403503,20.838705838,18.9383269525,16.8971057904,-9999,-9999,16.4289539981,12.1778976811,0.128940112277,7.11749419769,-9999
7041000,0.161812297735,2.2855987055,-9999,-9999,-9999,0.364077669903,-9999,9.00080906149,0.161812297735,1.57766990291,1,0,77.1237864078,4.51051779935,0.0202265372168,3.92394822006,-9999
2423496,1.16291475515,7.94836231729,-9999,-9999,-9999,0.362744052064,-9999,37.0532380241,14.3390589993,29.7023364985,-9999,-9999,3.46740638003,5.57985703617,0.0320068281233,0.352075109357,-9999
8052745,0.192554557125,0.706033376123,-9999,-9999,-9999,-9999,-9999,2.37483953787,2.11810012837,1.026957638,2,0,57.0603337612,32.7984595635,-9999,1.21951219512,-9999
8155200,0.349087003222,1.82599355532,-9999,-9999,-9999,0.0268528464017,0.510204081633,9.18367346939,43.447905478,-9999,32,12,0.375939849624,0.537056928034,-9999,-9999,-9999
7077555,0.105859642568,0.244930153393,-9999,-9999,-9999,-9999,0.0269838304585,13.0186603566,0.348714116695,4.92558689831,-9999,-9999,65.2635074828,3.66357390456,0.149448907155,12.2527347074,-9999
