SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,2.12264836731,1.79988950598,-9999,-9999,0.116309499578,-9999,-9999,1.07004739612,0.171556511878,0.569916547934,-9999,-9999,80.4512808584,5.56831729231,0.00581547497892,8.12421854555,-9999
7373500,0.405131667792,1.21539500338,-9999,-9999,0.67521944632,-9999,0,23.9027683997,10.6009453072,25.0506414585,0,-9999,11.8163403106,25.2532072924,-9999,0.607697501688,-9999
8136000,0.356724430378,0.903177295539,-9999,-9999,-9999,0,0,0.600223827094,0.160001398919,-9999,15,77,5.72595170231,0.299893332401,0.0109290573032,-9999,-9999
2388350,0.64502257579,0.150505267684,0,-9999,1.08578800258,1,-9999,29.6710384863,22.2425284885,29.6817888626,-9999,-9999,3.90238658353,11.5351537304,-9999,0.268759406579,-9999
8103800,0.357512187915,0.564337420594,0,-9999,-9999,0,1,5.45132220417,8.56847392525,-9999,33,43,4.59447481164,4.0685477914,0.0265918156301,-9999,-9999
8072760,0.226244343891,24.7171945701,-9999,-9999,0.169683257919,0,1,5.09049773756,1.30090497738,1.01809954751,2,5,11.8778280543,43.0995475113,4.24208144796,-9999,-9999
2372250,0.261894369271,0.425578350065,-9999,-9999,5.47795722392,0,-9999,16.7066783064,23.1885639459,26.9532955041,-9999,-9999,10.9340899171,6.83653426451,0.152771715408,9.04081187254,-9999
2427500,1.68864479565,2.32409219713,0,0,3.24991966346,0,0,28.9621687944,18.45870702,25.1067161345,-9999,-9999,6.52987058514,10.1735853466,0.186731325407,3.12231602933,-9999
2393419,0.654664484452,5.72831423895,-9999,-9999,1.96399345336,1,-9999,34.6972176759,16.0392798691,32.4058919804,-9999,-9999,1.14566284779,6.71031096563,-9999,-9999,-9999
2297310,0.0947306098283,1.61042036708,-9999,-9999,0.224985198342,0,-9999,-9999,7.42451154529,0.390763765542,40,0,14.2332741267,8.09946714032,7.16400236827,20.0828892836,-9999
7340500,0.861896171577,0.046769559698,0,-9999,6.20030734282,0,0,44.2840916683,11.0643415514,30.1129150798,-9999,-9999,0.327386917886,6.38738558161,0.0868577537249,0.106901850738,-9999
2346180,0.995814405586,7.73839043066,-9999,-9999,1.76350399714,0,0,23.1854158815,19.763543671,20.1087064331,-9999,-9999,5.81817460475,13.2986848109,0.124972724207,7.08575509313,-9999
7041000,0.323624595469,2.73058252427,-9999,-9999,0.242718446602,0,-9999,3.80258899676,0.182038834951,1.49676375405,1,-9999,84.9716828479,4.71278317152,0.0202265372168,0.323624595469,-9999
2423496,1.20559052598,9.52736583805,-9999,-9999,1.21625946869,0,-9999,36.1890536648,14.2430385149,28.8914968527,-9999,-9999,2.40051210925,5.54785020804,0.0320068281233,0.352075109357,-9999
8052745,0.192554557125,1.66880616175,-9999,-9999,-9999,-9999,-9999,2.37483953787,1.92554557125,1.026957638,3,0,49.6148908858,37.9974326059,-9999,1.60462130937,-9999
8155200,0.349087003222,4.24274973147,-9999,-9999,-9999,0,1,8.94199785177,41.5413533835,-9999,31,12,0.590762620838,0.751879699248,-9999,-9999,-9999
7077555,0.653838968803,0.39853041908,-9999,-9999,0.475330551923,-9999,0,8.41687942379,0.336260041098,2.04661975632,-9999,-9999,78.028934969,3.85868775557,0.147373227889,5.61056105611,-9999
7364700,0.509495136637,4.40018527096,-9999,-9999,6.46904431064,0,-9999,7.82769800834,49.2203180485,16.5199938243,-9999,-9999,1.86814883434,2.99521383356,0.0617569862591,10.0509495137,-9999
8167800,1.17257714986,2.13684546508,0,-9999,-9999,0,1,3.47573370067,46.0194533573,0.00839954978413,21,21,2.51146538546,1.82438221311,0.0268785593092,-9999,-9999
2365200,0.552683052569,1.48898424588,-9999,0,4.54579915392,0,0,14.2537641582,20.8548771057,22.1444708951,-9999,-9999,19.5220694152,10.7352428318,0.214553228912,5.65495595215,-9999
7311200,1.55945419103,0.194931773879,2,-9999,-9999,-9999,-9999,10.8187134503,0.389863547758,0.194931773879,70,12,0.0974658869396,2.72904483431,-9999,-9999,-9999
2329000,1.29678127904,2.30843963842,-9999,-9999,1.64526484751,0,0,3.56086846329,24.9112950917,7.93697727465,2,0,34.2738869646,6.27059221086,1.72129762609,13.1832389964,-9999
8062895,1.35702746365,4.25417339795,-9999,-9999,-9999,-9999,0,10.5008077544,0.236941303177,0.398492191707,0,0,15.4442649435,64.4803446419,1.2493268713,1.84168012924,-9999
2429595,0.357690342361,0.281042411855,-9999,-9999,5.13541134389,-9999,-9999,4.19008686765,45.1200817578,16.7347981604,-9999,-9999,14.5120081758,11.6760347471,0.0766479305059,1.91619826265,-9999
7382000,1.08619830593,1.02640757349,1,0,6.68659691081,0,0,10.6527154958,41.1758844046,11.639262581,0,-9999,2.03288490284,3.56751370204,0.577977080219,20.1494768311,-9999
8037000,1.07861720372,2.32572133466,0,-9999,3.42088636158,0,0,23.3820741944,6.59355537503,19.8965008876,-9999,-9999,1.93609531546,33.0535246863,1.28621716761,6.81168577188,-9999
2390140,0.525812619503,0.621414913958,-9999,-9999,0.286806883365,-9999,-9999,31.9789674952,10.8986615679,27.8680688337,-9999,-9999,3.20267686424,24.5219885277,-9999,0.0956022944551,-9999
8164390,0.285446489434,0.519768234492,0,-9999,0.255623721881,0,0,23.4023517382,9.72648261759,0.741308793456,24,14,4.27317655078,20.2965235174,2.0023858214,0.298227675528,-9999
8017200,1.57037037037,4.32592592593,-9999,-9999,-9999,-9999,0,13.8074074074,0.118518518519,0.266666666667,-9999,-9999,24.7703703704,51.9703703704,1.98518518519,1.15555555556,-9999
2430880,-9999,0.131926121372,-9999,-9999,7.51978891821,-9999,-9999,31.3984168865,14.1160949868,43.6675461741,-9999,-9999,1.18733509235,1.97889182058,-9999,-9999,-9999
8022500,3.63525316676,2.64363992075,-9999,-9999,1.92959893539,0,0,22.8299460249,4.1799701076,11.8477176013,0,-9999,4.75150082676,38.8923923352,1.5278888122,6.84049277766,-9999
8059000,0.989847715736,2.1192893401,-9999,-9999,-9999,0,0,8.48984771574,6.57360406091,2.13197969543,14,0,27.4365482234,37.9568527919,0.0761421319797,-9999,-9999
7366200,0.4,1.24285714286,-9999,-9999,5.38571428571,0,-9999,9.25714285714,50.9428571429,18.9,-9999,-9999,2.42857142857,3.7,-9999,7.42857142857,-9999
2337170,3.23561167965,19.4993427847,0,0,1.05975964698,0,0,30.9161111633,12.0059149376,22.4239508027,-9999,-9999,1.89536193785,8.27504459675,0.028166369355,0.504647450944,-9999
8068090,3.81698187549,4.64440504334,0,0,2.44286840032,0,0,6.02590622537,16.4622734437,28.1668636722,0,-9999,0.913613081166,31.5110323089,1.83953900709,3.73079196217,-9999
2343801,2.54943748123,6.80497583318,0,0,2.89795774192,0,0,28.5150799772,20.7914118014,22.9222717398,-9999,-9999,6.08880202048,6.38168855711,0.116860256327,2.81671484331,-9999
7351000,0.69244085401,11.1079053664,-9999,-9999,3.11598384305,0,0,24.4662435084,14.7143681477,24.8990190421,-9999,-9999,3.11598384305,11.9734564339,0.0865551067513,5.22215810733,-9999
2490500,0.677300613497,2.2282208589,-9999,-9999,4.37300613497,0,0,12.8196319018,29.5558282209,17.7570552147,-9999,-9999,7.50429447853,25.0061349693,0.00981595092025,-9999,-9999
