SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,0.939199209095,1.23869617051,-9999,-9999,-9999,0.00290773748946,0.0174464249368,1.7097496438,0.244249949115,1.930737693,-9999,-9999,71.2657381292,5.49562385508,0.00581547497892,17.1498357128,-9999
7373500,0.202565833896,0.945307224848,-9999,-9999,-9999,-9999,0.270087778528,13.031735314,10.5334233626,11.6137744767,-9999,-9999,40.175557056,22.2147197839,-9999,1.01282916948,-9999
8136000,0.128525713886,0.501862311364,-9999,-9999,-9999,-9999,0.429730533163,0.60153531397,0.171367618515,0.000437162292129,15,72,10.5176875863,0.246996695053,0.0209837900222,0.0174864916852,-9999
2388350,0.419264674264,0.0860030101054,-9999,-9999,-9999,0.451515803053,-9999,27.5424639862,19.4366802838,26.961943668,-9999,-9999,13.0402064072,11.7609116319,-9999,0.301010535369,-9999
8103800,0.34273895701,0.437287634806,-9999,-9999,-9999,-9999,0.759344068548,5.49859654306,8.83439208155,-9999,34,43,4.11877677648,3.48352784754,0.0265918156301,-9999,-9999
8072760,0.0565610859729,0.226244343891,-9999,-9999,-9999,0.0565610859729,0.622171945701,6.50452488688,3.50678733032,2.60180995475,2,5,38.3484162896,34.0497737557,4.18552036199,2.82805429864,-9999
2372250,0.158227848101,0.272806634657,-9999,-9999,-9999,-9999,-9999,10.5139676997,20.1167612396,17.5360104758,-9999,-9999,34.7719336534,5.86534264513,0.152771715408,10.6121780882,-9999
2427500,1.10005550524,1.16864830125,-9999,-9999,-9999,0.0872892991733,0.00186965031696,24.7056761415,17.3503549414,20.6304227163,-9999,-9999,21.5428120709,9.57027255996,0.196897549005,3.64570126494,-9999
2393419,0.654664484452,-9999,-9999,-9999,-9999,-9999,-9999,22.9132569558,13.5842880524,18.3306055646,-9999,-9999,34.6972176759,9.81996726678,-9999,-9999,-9999
2297310,0.0355239786856,0.414446417999,-9999,-9999,-9999,0.118413262285,-9999,0.153937240971,8.82178804026,0.414446417999,39,0,13.629366489,7.69686204855,7.17584369449,21.7288336294,-9999
7340500,0.454332865638,0.046769559698,-9999,-9999,-9999,0.0133627313423,0.0200440970134,50.3908598918,11.8527427006,33.0059464154,-9999,-9999,0.427607402953,3.56116790272,0.100220485067,0.126945947752,-9999
2346180,0.93035250243,3.24333974728,-9999,-9999,-9999,0.059510821051,0.00198369403503,15.911209855,16.6749320585,12.4377615997,-9999,-9999,30.8662791851,12.5528158537,0.134891194382,7.18692348892,-9999
7041000,0.0202265372168,1.82038834951,-9999,-9999,-9999,0.121359223301,-9999,16.1003236246,0.161812297735,1.678802589,1,0,62.5404530744,4.36893203883,0.0202265372168,12.2977346278,-9999
2423496,1.01354955724,5.29179558306,-9999,-9999,-9999,0.362744052064,-9999,36.2423983783,14.0616664889,29.1155446495,-9999,-9999,7.93769337459,5.56918809346,0.0426757708311,0.362744052064,-9999
8052745,0.0641848523748,0.577663671374,-9999,-9999,-9999,-9999,-9999,1.66880616175,1.21951219512,0.770218228498,1,0,67.2657252888,25.6097560976,0.0641848523748,1.21951219512,-9999
8155200,0.349087003222,0.805585392052,-9999,-9999,-9999,-9999,0.510204081633,9.4522019334,44.0118152524,-9999,32,12,0.349087003222,0.537056928034,-9999,-9999,-9999
7077555,0.0124540755962,0.180584096145,-9999,-9999,-9999,0.00415135853208,0.0249081511925,18.2535234656,0.363243871557,8.21968989352,-9999,0,47.3234115864,3.53695746933,0.149448907155,21.9295514457,-9999
7364700,0.401420410684,3.8134939015,-9999,-9999,-9999,-9999,-9999,8.38351088467,50.2701868149,17.5544233441,-9999,-9999,5.24934383202,3.01065308013,0.0771962328238,11.2397714992,-9999
8167800,0.41829757925,0.824835788802,-9999,-9999,-9999,0.00167990995683,0.557730105666,3.66724343575,48.5695566718,0.00839954978413,22,21,1.72022779579,1.18433651956,0.0268785593092,-9999,-9999
2365200,0.365422813907,0.699761944474,-9999,-9999,-9999,0.00151627723613,0.00454883170839,10.409243226,20.7343330655,17.0634258768,0,-9999,34.8175160346,9.1992539916,0.223650892329,6.47602007551,-9999
7311200,1.55945419103,0.0974658869396,-9999,-9999,-9999,-9999,-9999,12.2807017544,0.877192982456,0.194931773879,70,12,0.292397660819,2.72904483431,-9999,-9999,-9999
2329000,1.03911464053,1.2545408465,-9999,-9999,-9999,0.0042240432542,0.0654726704401,2.93571006167,26.0644589001,7.5673734899,0,0,39.0639520149,5.49970431697,1.74452986399,14.2962743938,-9999
8062895,1.00161550889,2.36941303177,-9999,-9999,-9999,-9999,0.0430802369413,9.5422724825,0.236941303177,0.48465266559,0,0,27.3774905762,55.928917609,1.10931610124,1.82014001077,-9999
2429595,0.153295861012,0.281042411855,-9999,-9999,-9999,-9999,-9999,4.03679100664,43.8170669392,16.6070516096,-9999,-9999,23.9652529382,8.27797649463,0.102197240675,2.75932549821,-9999
7382000,1.06626806178,0.518186347783,-9999,-9999,-9999,0.0896860986547,0.039860488291,12.3467862481,42.5411061286,12.1574489287,0,-9999,4.72346786248,3.63726955655,0.597907324365,22.0328849028,-9999
8037000,0.448295574209,2.03538225472,-9999,-9999,-9999,0.00902608538677,0.148930408882,23.2873002979,7.10052050426,19.6452748443,0,0,5.91960766616,33.0475072961,1.33285194211,7.00725095526,-9999
