SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,1.74464249368,1.67485679393,-9999,-9999,-9999,0.00290773748946,0.00581547497892,1.13401762089,0.206449361752,0.703672472449,-9999,-9999,80.0151202349,5.60902561717,0.00581547497892,8.89767671775,-9999
7373500,0.270087778528,1.01282916948,-9999,-9999,-9999,-9999,0.270087778528,20.7967589467,10.1958136394,20.3916272789,-9999,-9999,21.8095881161,24.6455097907,-9999,0.607697501688,-9999
8136000,0.355850105793,0.729186703272,-9999,-9999,-9999,0.00131148687639,0.429293370871,0.602409638554,0.165247346425,-9999,15,75,7.58957455366,0.281969678423,0.0118033818875,0.00480878521342,-9999
2388350,0.612771447001,0.139754891421,-9999,-9999,-9999,0.451515803053,-9999,29.9935497742,21.8985164481,29.3592775747,-9999,-9999,5.69769941948,11.5566544829,-9999,0.290260159106,-9999
8103800,0.354557541734,0.511153789334,-9999,-9999,-9999,-9999,0.759344068548,5.4926872507,8.57733786379,-9999,33,43,4.20150686955,4.02718274487,0.0265918156301,-9999,-9999
8072760,0.169683257919,14.7624434389,-9999,-9999,-9999,0.0565610859729,0.622171945701,5.42986425339,1.47058823529,1.52714932127,2,5,24.7737556561,39.0271493213,4.24208144796,0.226244343891,-9999
2372250,0.218245307726,0.387385421213,-9999,-9999,-9999,0.0163683980794,-9999,15.9373635967,22.6320384112,24.9945438673,-9999,-9999,19.6257092973,6.45460497599,0.152771715408,9.58096900917,-9999
2427500,1.63722941194,1.99678653852,-9999,-9999,-9999,0.0921971312553,0.00210335660658,28.8506908942,18.7860126786,24.7394467004,-9999,-9999,10.5407379276,9.81694954865,0.185562793959,3.35228301832,-9999
2393419,0.654664484452,3.60065466448,-9999,-9999,-9999,0.490998363339,-9999,32.0785597381,16.2029459902,29.1325695581,-9999,-9999,10.9656301146,6.87397708674,-9999,-9999,-9999
2297310,0.0828892835998,1.48016577857,-9999,-9999,-9999,0.272350503256,-9999,-9999,7.56660746004,0.414446417999,40,0,14.3280047365,7.76791000592,7.17584369449,20.3789224393,-9999
7340500,0.855214805906,0.046769559698,-9999,-9999,-9999,0.0668136567114,0.0200440970134,48.6470234516,11.6790271932,32.3110843856,-9999,-9999,0.334068283557,5.84619496225,0.0868577537249,0.106901850738,-9999
2346180,0.95018944278,7.01434210787,-9999,-9999,-9999,0.101168395787,0.00198369403503,21.5250639741,19.081152923,17.6528932178,-9999,-9999,13.9572712305,12.4695007042,0.128940112277,7.11749419769,-9999
7041000,0.262944983819,2.42718446602,-9999,-9999,-9999,0.364077669903,-9999,4.89482200647,0.161812297735,1.53721682848,1,0,83.9603559871,4.65210355987,0.0202265372168,0.849514563107,-9999
2423496,1.17358369786,8.83388456204,-9999,-9999,-9999,0.352075109357,-9999,36.6798250293,14.275045343,29.4569508162,-9999,-9999,3.23268964046,5.61186386429,0.0320068281233,0.352075109357,-9999
8052745,0.192554557125,1.21951219512,-9999,-9999,-9999,-9999,-9999,2.43902439024,2.11810012837,1.026957638,3,0,52.1181001284,36.9704749679,-9999,1.21951219512,-9999
8155200,0.349087003222,3.0612244898,-9999,-9999,-9999,0.0268528464017,0.510204081633,8.94199785177,42.3200859291,-9999,32,12,0.375939849624,0.725026852846,-9999,-9999,-9999
7077555,0.228324719264,0.300973493576,-9999,-9999,-9999,0.00207567926604,0.0269838304585,9.34678373498,0.336260041098,2.65064242273,-9999,-9999,76.3683915561,3.75490379227,0.149448907155,6.83521182307,-9999
7364700,0.524934383202,4.40018527096,-9999,-9999,-9999,0.0771962328238,-9999,9.49513663733,50.5326540065,18.9748340281,-9999,-9999,2.05341979311,3.01065308013,0.0617569862591,10.8692295816,-9999
8167800,1.16921732995,1.48168058192,-9999,-9999,-9999,0.00335981991365,0.551010465839,3.51605153964,46.731735179,0.00839954978413,21,21,2.27291817159,1.74374653519,0.0268785593092,-9999,-9999
2365200,0.517808676138,1.28883565071,-9999,-9999,-9999,0.00379069309032,0.00454883170839,14.4417825355,21.3491834847,22.0239268548,0,-9999,24.0610453215,10.129490076,0.213036951676,5.9635183697,-9999
7311200,1.55945419103,0.194931773879,-9999,-9999,-9999,-9999,-9999,12.2807017544,0.877192982456,0.194931773879,70,12,0.0974658869396,2.72904483431,-9999,-9999,-9999
2329000,1.25665286813,2.03598884853,-9999,-9999,-9999,0.0380163892878,0.0718087353214,3.55030835516,25.4055081524,8.00033792346,1,0,37.2032609614,5.89676438287,1.71496156121,13.5824110839,-9999
8062895,1.30317716747,3.80183091007,-9999,-9999,-9999,-9999,0.0753904146473,11.534733441,0.333871836295,0.387722132472,0,0,15.8750673129,63.7802907916,1.08777598277,1.70166935918,-9999
2429595,0.306591722024,0.281042411855,-9999,-9999,-9999,-9999,-9999,5.2120592744,45.1711803781,17.3990802248,-9999,-9999,19.7751660705,9.73428717425,0.102197240675,2.01839550332,-9999
7382000,1.11609367215,0.837070254111,-9999,-9999,-9999,0.279023418037,0.039860488291,12.7154957648,43.4080717489,12.5460886896,0,-9999,2.8898854011,3.62730443448,0.577977080219,21.6641753861,-9999
8037000,1.0710954659,2.28660829798,-9999,-9999,-9999,0.0165478232091,0.148930408882,25.0022565213,7.02831182116,20.9916659145,0,0,2.18882570629,33.0053855643,1.28471282005,6.9380509673,-9999
2390140,0.525812619503,0.57361376673,-9999,-9999,-9999,-9999,-9999,28.9196940727,10.4206500956,23.6615678776,-9999,-9999,11.7112810707,24.0917782027,-9999,0.0956022944551,-9999
8164390,0.28118609407,0.519768234492,-9999,-9999,-9999,-9999,0.153374233129,23.8582140423,9.9054192229,0.741308793456,25,15,4.18370824813,17.7402862986,1.9299591002,0.298227675528,-9999
8017200,1.54074074074,3.52592592593,-9999,-9999,-9999,0.0592592592593,0.0296296296296,13.6888888889,0.474074074074,0.296296296296,-9999,-9999,28.7111111111,48.8592592593,1.80740740741,1.00740740741,-9999
2430880,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34.036939314,14.2480211082,42.2163588391,-9999,-9999,7.12401055409,2.3746701847,-9999,-9999,-9999
