SITE_NO,Water,Developed,Mechanically_Disturbed_National_Forests,Mechanically_Disturbed_Other_Public_Lands,Mechanically_Disturbed_Private,Mining,Barren,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Grassland,Shrubland,Cultivated_Cropland,Hay_Pasture_land,Herbaceous_Wetland,Woody_Wetland,Perennial_Ice_Snow
7288500,2.05867814254,1.76208891861,-9999,-9999,-9999,0.00290773748946,0.00290773748946,1.10784798348,0.186095199325,0.694949259981,-9999,-9999,80.265185659,5.61193335466,0.00581547497892,8.30159053241,-9999
7373500,0.405131667792,1.08035111411,-9999,-9999,-9999,-9999,0.270087778528,22.8899392302,10.465901418,23.4976367319,0,-9999,15.5300472654,25.0506414585,-9999,0.607697501688,-9999
8136000,0.355850105793,0.843286061517,-9999,-9999,-9999,0.0113662195954,0.421861611905,0.604158287723,0.163498697256,-9999,15,75,7.5869515799,0.281969678423,0.0109290573032,-9999,-9999
2388350,0.64502257579,0.139754891421,-9999,-9999,-9999,0.451515803053,-9999,30.2408084283,22.2317781122,29.8967963879,-9999,-9999,4.53665878306,11.5674048592,-9999,0.290260159106,-9999
8103800,0.357512187915,0.534790958783,-9999,-9999,-9999,-9999,0.759344068548,5.4926872507,8.58029250997,-9999,33,43,3.72285418821,3.95627123652,0.0265918156301,-9999,-9999
8072760,0.226244343891,19.5135746606,-9999,-9999,-9999,0.0565610859729,0.622171945701,5.48642533937,1.52714932127,1.30090497738,2,5,18.5520361991,40.7805429864,4.24208144796,-9999,-9999
2372250,0.250982103885,0.403753819293,-9999,-9999,-9999,0.0163683980794,-9999,17.5796595373,23.5650371017,27.5534701004,-9999,-9999,14.2841553907,6.62920122217,0.152771715408,9.56460061109,-9999
2427500,1.67649206859,2.10452513803,-9999,-9999,-9999,0.0910285998072,0.00210335660658,29.7976687798,19.09298589,25.7046536765,0,-9999,7.96529461599,10.0345301043,0.185562793959,3.34503812334,-9999
2393419,0.654664484452,3.92798690671,-9999,-9999,-9999,0.490998363339,-9999,35.5155482815,16.5302782324,32.5695581015,-9999,-9999,3.43698854337,6.87397708674,-9999,-9999,-9999
2297310,0.0947306098283,1.53937240971,-9999,-9999,-9999,0.284191829485,-9999,-9999,7.60213143872,0.414446417999,40,0,14.2687981054,7.76791000592,7.17584369449,20.3315571344,-9999
