"siteno","station_nm","coords.x1","coords.x2"
"02309421","CURLEW CREEK AT BELCHER ROAD NEAR OZONA FL",-82.7475,28.04
"02306500","SWEETWATER CREEK NEAR SULPHUR SPRINGS FL",-82.5117623,28.04307328
"02294217","SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL",-81.876192,28.04418733
"08189800","Chiltipin Ck at Sinton",-97.5038832,28.04695919
"02309425","CURLEW CREEK AT COUNTY ROAD 1 NEAR OZONA FL",-82.7587125,28.0469618
"02305851","CURIOSITY CREEK AT 122ND AVE NEAR SULPHUR SPGS. FL",-82.4612055,28.05862836
"02306950","BRUSHY CREEK NEAR CITRUS PARK FL",-82.5553744,28.06501684
"02306774","ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL",-82.5658333,28.06583333
"02303300","FLINT CREEK NEAR THONOTOSASSA FL",-82.2675895,28.0680729
"02306289","LAKE MAGDALENE OUTLET NEAR LUTZ FL",-82.5000954,28.07418316
"02307445","SOUTH BRANCH BROOKER CREEK NEAR OLDSMAR FL",-82.6977778,28.07705556
"02303800","CYPRESS CREEK NEAR SULPHUR SPRINGS FL",-82.4091667,28.08888889
"02307359","BROOKER CREEK NEAR TARPON SPRINGS FL",-82.6873219,28.09612675
"02303330","HILLSBOROUGH R AT MORRIS BR NEAR THONOTOSASSA FL",-82.31138889,28.0986111
"02303350","TROUT CREEK NEAR SULPHUR SPRINGS FL",-82.3619444,28.1347222
"02302500","BLACKWATER CREEK NEAR KNIGHTS FL",-82.15,28.1397222
"02307323","BROOKER CREEK NEAR LAKE FERN FL",-82.6398209,28.14084726
"02307243","BROOKER CREEK NEAR ODESSA FL",-82.5942643,28.14751363
"02303000","HILLSBOROUGH RIVER NEAR ZEPHYRHILLS FL",-82.23175318,28.15029044
"02303100","NEW RIVER NEAR ZEPHYRHILLS FL",-82.265087,28.16556714
"02301900","FOX BRANCH NEAR SOCRUM",-82.0125,28.18194444
"02309848","SOUTH BRANCH ANCLOTE RIVER NEAR ODESSA FL",-82.5533611,28.18544444
"02301990","HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL",-82.1841667,28.18555556
"02303420","CYPRESS CREEK AT WORTHINGTON GARDENS FL",-82.4022222,28.1872222
"02310000","ANCLOTE RIVER NEAR ELFERS FL",-82.6664882,28.21417784
"02309980","ANCLOTE RIVER NR ODESSA FL",-82.63509859,28.2216775
"02310300","PITHLACHASCOTEE RIVER NEAR NEW PORT RICHEY FL",-82.6429044,28.25731495
"08189700","Aransas Rv nr Skidmore",-97.620829,28.28250426
"08189500","Mission Rv at Refugio",-97.2791593,28.29195088
"08194500","Nueces Rv nr Tilden",-98.5572384,28.30888906
"02310947","WITHLACOOCHEE RIVER NEAR CUMPRESSCO",-82.05591468,28.31195156
"02303400","CYPRESS CREEK NEAR SAN ANTONIO FL",-82.3836111,28.32388889
"02310280","PITHLACHASCOTEE RIVER NEAR FIVAY JUNCTION FL",-82.5367636,28.329172
"02311500","WITHLACOOCHEE RIVER NEAR DADE CITY",-82.12591619,28.3525042
"02310800","WITHLACOOCHEE RIVER NR EVA",-81.8186886,28.36084067
"08194600","Nueces Rv at Simmons",-98.284454,28.42138408
"08194000","Nueces Rv at Cotulla",-99.2400322,28.42637889
"08210000","Nueces Rv nr Three Rivers",-98.1780625,28.42749545
"08206600","Frio Rv at Tilden",-98.5475174,28.46749279
"02312000","WITHLACOOCHEE RIVER AT TRILBY",-82.17758499,28.4799981
"08189300","Medio Ck nr Beeville",-97.656663,28.48305164
"08206910","Choke Canyon Res OWC nr Three Rivers",-98.2416752,28.48610326
"08207000","Frio Rv at Calliham",-98.3466783,28.49221399
"08193000","Nueces Rv nr Asherton",-99.6819935,28.50026313
"02310525","WEEKI WACHEE RIVER NEAR BROOKSVILLE FL",-82.5823215,28.51888454
"02312300","WITHLACOOCHEE RIVER AT RITAL FL",-82.209253,28.5211073
"08188570","San Antonio Rv nr McFaddin",-97.0426944,28.53125
"02312200","LITTLE WITHLACOOCHEE RIVER AT RERDELL",-82.155363,28.57277286
"08206700","San Miguel Ck nr Tilden",-98.5458513,28.58748787
"02312500","WITHLACOOCHEE RIVER AT CROOM",-82.222032,28.5927714
"08208000","Atascosa Rv at Whitsett",-98.2813988,28.62220899
"02312558","WITHLACOOCHEE RIVER AT NOBLETON",-82.25703368,28.644436
"08188500","San Antonio Rv at Goliad",-97.3848583,28.6492861
"02312635","JUMPER CREEK NR SUMTERVILLE",-82.05480599,28.6963808
"02312640","JUMPER CREEK CANAL NEAR BUSHNELL",-82.1039741,28.6972136
"02312645","JUMPER CREEK CANAL NEAR WAHOO",-82.1570313,28.70443503
"02312598","WITHLACOOCHEE RIVER NR PINEOLA",-82.2423118,28.7241557
"08164800","Placedo Ck nr Placedo",-96.7688702,28.72527137
"08177500","Coleto Ck nr Victoria",-97.1386004,28.73110317
"08205500","Frio Rv nr Derby",-99.1447556,28.73664429
"02312600","WITHLACOOCHEE RIVER NEAR FLORAL CITY",-82.2200892,28.74359973
"08177300","Perdido Ck at FM 622 nr Fannin",-97.3172142,28.7516564
"08176500","Guadalupe Rv at Victoria",-97.0130429,28.7930456
"02312700","OUTLET RIVER AT PANACOOCHEE RETREATS",-82.1528658,28.8002651
"02312690","CHITTY CHATTY CREEK NR WILDWOOD",-81.9828609,28.80943313
"08177000","Coleto Ck nr Schroeder",-97.1863786,28.83165447
"02312722","WITHLACOOCHEE RIVER NR RUTLAND",-82.2209241,28.85192929
"08176900","Coleto Ck at Arnold Rd Crsg nr Schroeder",-97.2263791,28.86165308
"08207500","Atascosa Rv nr McCoy",-98.3383454,28.86497693
"08164600","Garcitas Ck nr Inez",-96.8191486,28.8913759
"08186500","Ecleto Ck nr Runge",-97.7722221,28.92025419
"08162600","Tres Palacios Rv nr Midfield",-96.1710747,28.92803769
"08183500","San Antonio Rv nr Falls City",-98.0641723,28.95164067
"08164000","Lavaca Rv nr Edna",-96.6863668,28.95998449
"08162500","Colorado Rv nr Bay City",-96.0124588,28.9741462
"02313000","WITHLACOOCHEE RIVER NEAR HOLDER",-82.3495406,28.98886759
"02313230","WITHLACOOCHEE R AT INGLIS DAM NEAR DUNNELLON",-82.6167699,29.00997485
"08186000","Cibolo Ck nr Falls City",-97.9302808,29.01413869
"08164500","Navidad Rv nr Ganado",-96.5524733,29.0258147
"08176000","Guadalupe Rv bl Cuero",-97.2647124,29.051645
"08164390","Navidad Rv at Strane Pk nr Edna",-96.6741434,29.06553568
"08164504","E Mustang Ck nr Louise",-96.4171913,29.07081227
"08164503","W Mustang Ck nr Ganado",-96.4680278,29.07185833
"08175800","Guadalupe Rv at Cuero",-97.3297129,29.09053147
"08192000","Nueces Rv bl Uvalde",-99.8947822,29.12385307
